,Query,Answer
0,CIN ,U24290DL2016PTC302634
1,Company Name,TATA 1MG HEALTHCARE SOLUTIONS PRIVATE LIMITED
2,ROC Code,RoC-Delhi
3,Registration Number,302634
4,Company Category,Company limited by Shares
5,Company SubCategory,Non-govt company
6,Class of Company,Private
7,Authorised Capital(Rs),387571460
8,Paid up Capital(Rs),343696380
9,Number of Members(Applicable in case of company without Share Capital),0
10,Date of Incorporation,06/07/2016
11,Registered Address,"B-23, G. T. KARNAL ROAD INDUSTRIAL AREA DELHI North West DL 110033 IN"
12,Address other than R/o where all or any books of account and papers are maintained,-
13,Email Id,legalsupport@delhidistributors.com
14,Whether Listed or not,Unlisted
15,ACTIVE compliance,ACTIVE compliant
16,Suspended at stock exchange,-
17,Date of last AGM,30/09/2021
18,Date of Balance Sheet,31/03/2021
19,Company Status(for efiling),Active
