Company Name   TATA ADVANCED MATERIALS LIMITED   
ROC Code   RoC-Bangalore   
Registration Number   013224   
Company Category   Company limited by Shares   
Company SubCategory   Non-govt company   
Class of Company   Public   
Authorised Capital(Rs)   3000000000   
Paid up Capital(Rs)   2666311800   
Number of Members(Applicable in case of company without Share Capital)   11644   
Date of Incorporation   10/11/1989   
Registered Address   NO.10,JIGANI INDUSTRIAL AREA, JIGANI BANGALORE KARNATAKA KA 562106 IN   
Address other than R/o where all or any books of account and papers are maintained   -   
Email Id   abhishek.sharma@tamlindia.com   
Whether Listed or not   Unlisted   
ACTIVE compliance   ACTIVE compliant   
Suspended at stock exchange   -   
Date of last AGM   11/09/2020   
Date of Balance Sheet   31/03/2020   
Company Status(for efiling)   Active   
